time,hash-rate
2011-06-26,11.2404864
2011-06-29,11.57694699
2011-07-02,11.33199196
2011-07-05,11.65520349
2011-07-08,11.1667403
2011-07-11,11.1064882
2011-07-14,11.77687918
2011-07-17,12.14317231
2011-07-20,12.68706211
2011-07-23,12.4548236
2011-07-26,12.85557165
2011-07-29,13.6529151
2011-08-01,13.8570484
2011-08-04,14.23280924
2011-08-07,13.76724248
2011-08-10,12.67543301
2011-08-13,12.78273827
2011-08-16,12.94369615
2011-08-19,12.61339921
2011-08-22,12.85892259
2011-08-25,13.59251257
2011-08-28,13.27193444
2011-08-31,12.02809131
2011-09-03,12.28705573
2011-09-06,12.870168
2011-09-09,12.70055582
2011-09-12,12.58693256
2011-09-15,12.14618973
2011-09-18,11.94430825
2011-09-21,12.17937495
2011-09-24,12.25417152
2011-09-27,12.14197667
2011-09-30,11.65523754
2011-10-03,11.34753303
2011-10-06,11.04900922
2011-10-09,11.01301896
2011-10-12,10.48516184
2011-10-15,9.825340443
2011-10-18,9.317272701
2011-10-21,9.300634481
2011-10-24,8.466189305
2011-10-27,8.361925889
2011-10-30,8.372352231
2011-11-02,8.327252293
2011-11-05,8.526276317
2011-11-08,8.512159883
2011-11-11,8.725818515
2011-11-14,8.40960374
2011-11-17,8.445602465
2011-11-20,8.439707498
2011-11-23,7.926500581
2011-11-26,7.621635174
2011-11-29,7.392986119
2011-12-02,7.932839135
2011-12-05,8.230114335
2011-12-08,8.481521249
2011-12-11,8.249150804
2011-12-14,7.936283384
2011-12-17,7.642399829
2011-12-20,7.907177914
2011-12-23,8.169656849
2011-12-26,8.505957985
2011-12-29,8.844789594
2012-01-01,8.917107933
2012-01-04,8.5831636
2012-01-07,9.019735261
2012-01-10,9.461307725
2012-01-13,9.768831316
2012-01-16,9.388501174
2012-01-19,9.379618959
2012-01-22,9.406265603
2012-01-25,9.333958282
2012-01-28,9.576555798
2012-01-31,9.686121882
2012-02-03,10.02044632
2012-02-06,10.20152598
2012-02-09,10.08324074
2012-02-12,9.679950635
2012-02-15,9.836710969
2012-02-18,9.73873576
2012-02-21,10.054856
2012-02-24,10.49478066
2012-02-27,10.38951247
2012-03-01,11.00525968
2012-03-04,10.51750728
2012-03-07,10.3801804
2012-03-10,10.63074423
2012-03-13,11.63003418
2012-03-16,11.26858888
2012-03-19,11.2623591
2012-03-22,11.36240874
2012-03-25,11.51257533
2012-03-28,11.56577577
2012-03-31,11.82900504
2012-04-03,11.68712483
2012-04-06,11.29679587
2012-04-09,10.58063907
2012-04-12,11.05422663
2012-04-15,11.23043513
2012-04-18,10.54058835
2012-04-21,10.73486966
2012-04-24,11.4184052
2012-04-27,11.3623777
2012-04-30,11.17024035
2012-05-03,11.96521692
2012-05-06,12.2666139
2012-05-09,12.42731189
2012-05-12,12.64342618
2012-05-15,12.36856567
2012-05-18,11.02825124
2012-05-21,11.52058389
2012-05-24,11.32365083
2012-05-27,10.79952112
2012-05-30,10.93591683
2012-06-02,11.18597681
2012-06-05,11.50234788
2012-06-08,11.8300179
2012-06-11,12.0370979
2012-06-14,12.01152492
2012-06-17,12.26598795
2012-06-20,12.6932176
2012-06-23,12.33499121
2012-06-26,12.51723202
2012-06-29,12.76386298
2012-07-02,12.4818564
2012-07-05,12.53448055
2012-07-08,13.14301117
2012-07-11,13.54486955
2012-07-14,13.54486955
2012-07-17,13.01003999
2012-07-20,13.79249216
